timestamp,type,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,emg_9,emg_10,emg_11,emg_12,emg_13,emg_14,emg_15
10280,IMU,0.97,-0.08,-0.02,-0.22,-0.03,-0.10,0.88,6.25,25.06,-114.56
10281,IMU,0.97,-0.07,-0.02,-0.24,-0.04,-0.09,0.88,1.94,10.00,-112.94
10305,IMU,0.96,-0.07,-0.02,-0.26,-0.04,-0.10,0.89,4.75,-0.19,-106.56
10306,EMG,2,-1,0,-21,0,-3,-2,0,2,0,1,85,-2,3,-4,1
10330,IMU,0.96,-0.07,-0.02,-0.27,-0.01,-0.08,0.88,4.62,-1.12,-109.87
10331,IMU,0.95,-0.07,-0.02,-0.29,-0.08,-0.06,0.87,-14.38,-3.25,-97.12
10355,EMG,0,0,2,-16,14,5,1,3,1,0,3,44,-12,-2,0,-4
10356,IMU,0.95,-0.08,-0.02,-0.31,0.01,-0.08,0.88,-28.81,-14.81,-110.06
10380,IMU,0.94,-0.08,-0.02,-0.33,0.07,-0.12,0.91,-20.81,0.13,-114.94
10381,EMG,-7,0,-2,2,9,1,-5,-3,2,0,6,10,-16,-2,-8,-4
10405,IMU,0.93,-0.08,-0.02,-0.35,0.05,-0.12,0.88,-20.25,16.44,-110.94
10430,IMU,0.93,-0.08,-0.02,-0.36,0.02,-0.08,0.89,-16.12,33.44,-99.56
10431,EMG,-2,-1,2,-62,2,-3,6,2,2,87,-1,-8,-3,2,-6,-1
10432,IMU,0.92,-0.08,-0.01,-0.38,0.05,-0.14,0.87,-6.56,31.75,-103.94
10455,IMU,0.91,-0.08,-0.01,-0.40,0.02,-0.12,0.86,-4.19,27.94,-110.12
10456,EMG,-6,-2,2,-10,-7,-3,-2,1,1,58,4,-11,-13,-3,-1,-2
10480,IMU,0.91,-0.08,-0.01,-0.41,-0.03,-0.10,0.85,-5.25,19.37,-107.69
10505,IMU,0.90,-0.08,-0.01,-0.43,-0.01,-0.14,0.87,-7.06,6.00,-103.25
10506,EMG,5,-26,-6,36,-2,-5,1,-3,-1,38,-3,-15,-14,-2,-1,2
10530,IMU,0.89,-0.08,-0.01,-0.44,0.03,-0.18,0.89,0.25,-5.87,-89.31
10531,IMU,0.89,-0.08,-0.01,-0.45,0.02,-0.13,0.90,2.06,-0.94,-62.75
10555,EMG,-2,-7,3,-51,18,0,-2,-1,-2,17,-5,-10,-7,0,1,0
10556,IMU,0.88,-0.08,-0.01,-0.46,0.00,-0.13,0.89,-2.12,3.62,-42.44
10580,IMU,0.88,-0.08,-0.01,-0.47,-0.00,-0.13,0.87,-8.94,0.44,-36.38
10581,EMG,-2,-67,2,5,-11,0,-2,0,0,-84,5,2,-8,2,1,6
10605,IMU,0.88,-0.08,-0.00,-0.47,0.02,-0.11,0.88,-10.69,-3.00,-40.94
10655,IMU,0.87,-0.08,-0.00,-0.48,-0.02,-0.13,0.89,-8.50,-4.44,-52.50
10656,EMG,-1,37,2,-49,1,1,3,1,0,-15,2,-61,1,-4,3,-2
10657,IMU,0.87,-0.08,-0.00,-0.49,-0.02,-0.12,0.90,-7.94,-4.75,-56.31
10669,EMG,0,-17,5,-23,-6,-4,-2,-2,-2,9,-5,-17,-15,-1,-1,0
10669,IMU,0.86,-0.08,-0.00,-0.50,-0.01,-0.14,0.88,4.00,-3.81,-63.56
